Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,,
record_id,montreal_cognitive_assessment,,text,Record ID,,,,,,,,,,,,,,,
moca_vigilance,montreal_cognitive_assessment,,radio,Vigilance (Tapping at 'A'),"0, 0 - >= 2 errors | 1, 1 - < 2 errors",,,,,,,,RH,,,,,
moca_serial_7,montreal_cognitive_assessment,,radio,Serial 7 Subtraction (Starting at 100),"0, 0 - 0 correct | 1, 1 - 1 correct | 2, 2 - 2 or 3 correct | 3, 3 - 4 or 5 correct subtractions",,,,,,,,RH,,,,,
moca_sentence_1,montreal_cognitive_assessment,5. Language,radio,"Sentence Repetition 1: ""I only know that John is the one to help today.""","0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_sentence_2,montreal_cognitive_assessment,,radio,"Sentence Repetition 2: ""The cat always hid under the couch when dogs were in the room.""","0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_verbal_fluency,montreal_cognitive_assessment,,radio,"Verbal Fluency: Naming words starting with the letter ""F"" in one minute","0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_abstract_train,montreal_cognitive_assessment,6. Abstraction,radio,Similarities: Train - Bicycle,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_abstract_watch,montreal_cognitive_assessment,,radio,Similarities: Watch - Ruler,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_recall_face,montreal_cognitive_assessment,7. Delayed Recall,radio,Uncued Recall: FACE,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_recall_velvet,montreal_cognitive_assessment,,radio,Uncued Recall: VELVET,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_recall_church,montreal_cognitive_assessment,,radio,Uncued Recall: CHURCH,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_recall_daisy,montreal_cognitive_assessment,,radio,Uncued Recall: DAISY,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_recall_red,montreal_cognitive_assessment,,radio,Uncued Recall: RED,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_mis_info,montreal_cognitive_assessment,,descriptive,Memory Index Score (MIS): Calculated for clinical use but not part of the 30-point total (Uncued 3; Category Cue 2; Multiple Choice 1).,,,,,,,,,,,,,
moca_orient_calendar,montreal_cognitive_assessment,8. Orientation,radio,Date,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_orient_month,montreal_cognitive_assessment,,radio,Month,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_orient_year,montreal_cognitive_assessment,,radio,Year,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_orient_day,montreal_cognitive_assessment,,radio,Day,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_orient_place,montreal_cognitive_assessment,,radio,Place,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_orient_city,montreal_cognitive_assessment,,radio,City,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_edu_add,montreal_cognitive_assessment,Total Calculation,radio,Education Correction: Add +1 point? (if <= 12 years of education),"0, 0 - No | 1, 1 - Yes",,,,,,,,RH,,,,,
moca_total_score,montreal_cognitive_assessment,,calc,Total Score (Max 30),"[moca_trail] + [moca_cube] + [moca_clock_contour] + [moca_clock_numbers] + [moca_clock_hands] + [moca_animal_lion] + [moca_animal_rhino] + [moca_animal_camel] + [moca_digit_forward] + [moca_digit_backward] + [moca_vigilance] + [moca_serial_7] + [moca_sentence_1] + [moca_sentence_2] + [moca_verbal_fluency] + [moca_abstract_train] + [moca_abstract_watch] + [moca_recall_face] + [moca_recall_velvet] + [moca_recall_church] + [moca_recall_daisy] + [moca_recall_red] + [moca_orient_calendar] + [moca_orient_month] + [moca_orient_year] + [moca_orient_day] + [moca_orient_place] + [moca_orient_city] + [moca_edu_add]",,,,,,,,,,,,,
moca_interpretation,montreal_cognitive_assessment,,descriptive,Interpretation: A final score of >= 26 is considered normal.,,,,,,,,,,,,,
